team,first_name,second_name,web_name,minutes,goals_scored,assists,yellow_cards,red_cards,expected_assists,expected_goals,starts
Arsenal,David,Raya Martín,Raya,3330,0,0,1,0,0.07,0.00,37
Arsenal,Kepa,Arrizabalaga Revuelta,Arrizabalaga,90,0,0,0,0,0.00,0.00,1
Arsenal,Illan,Meslier,Meslier,0,11,0,0,0,0.00,0.00,0
Arsenal,Gabriel,dos Santos Magalhães,Gabriel,2750,3,5,4,0,1.75,2.94,30
Arsenal,Jurriën,Timber,J.Timber,2452,3,6,5,0,1.53,4.71,28
Arsenal,William,Saliba,Saliba,2614,1,0,2,0,1.21,0.88,30
Arsenal,Myles,Lewis-Skelly,Lewis-Skelly,697,0,0,3,0,0.20,0.10,5
Arsenal,Riccardo,Calafiori,Calafiori,1697,1,2,5,0,0.76,3.36,22
Arsenal,Piero,Hincapié,Hincapie,1787,1,2,2,0,1.67,0.36,20
Arsenal,Benjamin,White,White,699,0,1,0,0,0.69,0.45,9
Arsenal,Cristhian,Mosquera,Mosquera,986,0,0,4,0,0.63,0.10,9
Arsenal,Bukayo,Saka,Saka,2218,7,10,2,0,7.16,7.57,25
Arsenal,Declan,Rice,Rice,3093,4,9,3,0,7.32,3.15,35
Arsenal,Eberechi,Eze,Eze,1885,7,3,1,0,2.66,5.18,22
Arsenal,Martin,Ødegaard,Ødegaard,1363,1,7,0,0,3.65,1.25,16
Arsenal,Noni,Madueke,Madueke,1205,3,1,0,0,2.86,1.23,16
Arsenal,Mikel,Merino Zazón,Merino,1024,4,3,1,0,1.45,3.36,10
Arsenal,Gabriel,Martinelli Silva,Martinelli,1065,1,5,3,0,1.27,4.12,11
Arsenal,Martín,Zubimendi Ibáñez,Zubimendi,2991,5,1,4,0,2.27,2.84,34
Arsenal,Max,Dowman,Dowman,152,1,1,0,0,0.30,1.19,1
Arsenal,Christian,Nørgaard,Nørgaard,101,0,0,0,0,0.04,0.08,1
Arsenal,Ethan,Nwaneri,Nwaneri,165,0,0,0,0,0.08,0.23,0
Arsenal,Fábio,Ferreira Vieira,Fábio Vieira,0,0,0,0,0,0.00,0.00,0
Arsenal,Reiss,Nelson,Nelson,118,0,1,0,0,0.11,0.71,0
Arsenal,Viktor,Gyökeres,Gyökeres,2217,14,1,5,0,1.94,12.26,26
Arsenal,Kai,Havertz,Havertz,577,2,3,1,0,0.64,3.31,7
Arsenal,Gabriel,Fernando de Jesus,G.Jesus,418,3,0,3,0,0.26,2.71,3
Arsenal,Christos,Tzolis,Tzolis,0,0,0,0,0,0.00,0.00,0
Aston Villa,Emiliano,Martínez Romero,Martinez,2835,0,1,2,0,0.08,0.00,32
Aston Villa,Marco,Bizot,M.Bizot,585,0,0,2,0,0.00,0.00,6
Aston Villa,Lucas,Digne,Digne,1842,0,7,3,0,3.28,0.67,21
Aston Villa,Ezri,Konsa Ngoyo,Konsa,3035,0,1,0,1,0.59,1.27,34
